word,count
cut,674.0
sell,669.0
puppy,669.0
stop,669.0
otherwise,668.0
fantastic,664.0
page,662.0
subscription,662.0
signed,660.0
condition,659.0
fault,656.0
frustrating,654.0
christmas,653.0
results,653.0
cover,651.0
text,651.0
com,649.0
calling,648.0
personal,648.0
area,646.0
9,646.0
chat,643.0
between,643.0
e,641.0
responsive,639.0
total,639.0
booked,638.0
code,636.0
clearly,634.0
upon,632.0
idea,632.0
soon,630.0
application,629.0
recently,628.0
responded,628.0
guess,626.0
prior,625.0
run,624.0
mistake,624.0
fish,622.0
must,621.0
state,617.0
purchasing,617.0
loved,616.0
regarding,612.0
possible,611.0
stuff,611.0
value,611.0
confirmation,610.0
bank,610.0
prompt,610.0
broken,610.0
sometimes,608.0
low,608.0
deliver,605.0
hotel,601.0
coming,601.0
together,601.0
itself,601.0
2024,601.0
dollars,599.0
smooth,598.0
cards,596.0
11,595.0
knew,595.0
recommended,595.0
picked,593.0
piece,592.0
sale,592.0
worst,592.0
completed,589.0
location,589.0
room,588.0
final,587.0
video,586.0
patient,583.0
ready,582.0
inside,582.0
four,581.0
liked,581.0
efficient,579.0
turned,578.0
advertised,578.0
speak,575.0
answers,575.0
waited,573.0
five,573.0
ones,571.0
gone,570.0
details,569.0
clean,566.0
manner,562.0
costs,561.0
step,561.0
fedex,560.0
higher,559.0
previous,556.0
project,555.0
error,554.0
happen,554.0
manager,552.0
selection,551.0
sold,550.0
complaint,550.0
truck,547.0
25,547.0
rating,547.0
tour,546.0
pricing,544.0
delay,543.0
post,542.0
impressed,542.0
required,541.0
access,541.0
ticket,540.0
beyond,538.0
reasonable,537.0
despite,536.0
saw,535.0
choice,534.0
hand,534.0
machine,534.0
light,534.0
charges,533.0
husband,532.0
outside,532.0
videos,532.0
hoping,531.0
web,530.0
directly,528.0
taste,526.0
true,526.0
unable,526.0
added,526.0
finish,524.0
rude,524.0
truly,523.0
frame,522.0
appointment,522.0
airport,520.0
content,516.0
morning,516.0
along,516.0
delayed,515.0
form,515.0
level,515.0
vehicle,514.0
choose,514.0
2023,513.0
save,513.0
tech,513.0
friends,513.0
quote,512.0
early,512.0
type,511.0
notice,511.0
above,510.0
easily,509.0
messages,509.0
honest,507.0
comes,506.0
wife,506.0
important,505.0
claim,505.0
night,505.0
helping,505.0
black,504.0
owner,503.0
except,501.0
matter,500.0
simply,500.0
group,499.0
monthly,499.0
fresh,499.0
positive,499.0
proof,498.0
paper,496.0
guy,495.0
appreciated,494.0
non,493.0
cheap,492.0
dogs,492.0
plastic,491.0
scheduled,490.0
lower,489.0
attention,488.0
contract,487.0
totally,486.0
packaged,486.0
documents,484.0
status,483.0
huge,482.0
resolved,482.0
yes,482.0
filter,482.0
specific,482.0
transaction,480.0
glasses,480.0
direct,480.0
schedule,480.0
third,479.0
power,477.0
guide,477.0
seen,475.0
user,474.0
file,473.0
bike,473.0
photo,473.0
gotten,472.0
bill,472.0
sorry,471.0
usually,470.0
bags,469.0
properly,468.0
listed,467.0
refused,466.0
fixed,465.0
event,465.0
pieces,465.0
reservation,465.0
checked,463.0
figure,461.0
easier,461.0
opened,461.0
list,460.0
000,460.0
health,460.0
difference,460.0
warranty,459.0
ring,459.0
meat,459.0
label,459.0
amazon,458.0
replace,456.0
moving,456.0
gets,454.0
promptly,453.0
refunded,453.0
photos,453.0
turn,450.0
fair,450.0
allow,450.0
mind,449.0
glad,449.0
navigate,448.0
avoid,448.0
spend,448.0
knowledge,447.0
control,445.0
single,444.0
often,444.0
debt,442.0
following,442.0
updates,441.0
solar,441.0
friday,439.0
lots,439.0
goes,438.0
noticed,438.0
monday,437.0
chose,437.0
changes,436.0
learn,436.0
enjoyed,433.0
telling,433.0
air,433.0
zero,432.0
usps,432.0
smaller,431.0
equipment,431.0
minute,429.0
exam,428.0
failed,428.0
elsewhere,427.0
closing,426.0
fun,426.0
pair,425.0
negative,424.0
interest,423.0
missed,423.0
informative,421.0
special,420.0
white,419.0
approved,419.0
concerns,417.0
brand,416.0
learned,416.0
unless,416.0
meal,415.0
computer,415.0
bottom,414.0
understanding,413.0
instructor,412.0
switch,412.0
including,412.0
explain,410.0
confusing,410.0
none,409.0
nor,409.0
canceled,409.0
covered,408.0
damage,407.0
dry,406.0
pleasant,405.0
40,404.0
printed,400.0
known,399.0
incorrect,399.0
comfortable,399.0
throughout,399.0
hopefully,398.0
expecting,398.0
spot,398.0
double,397.0
enjoy,397.0
drive,396.0
weren,396.0
leaving,395.0
resolve,395.0
drop,395.0
assistance,395.0
payments,395.0
tag,394.0
rest,393.0
dont,393.0
talking,393.0
description,393.0
result,393.0
custom,392.0
trouble,391.0
basically,391.0
further,390.0
gold,390.0
accurate,390.0
initially,390.0
beginning,390.0
apparently,389.0
shopping,388.0
selling,388.0
pet,387.0
weight,387.0
beware,387.0
note,386.0
polite,385.0
agreed,385.0
pickup,385.0
packed,384.0
advice,384.0
december,384.0
doctor,384.0
certain,384.0
updated,384.0
hair,383.0
2nd,383.0
edit,383.0
feedback,381.0
buyer,379.0
finding,379.0
wasted,378.0
shuttle,378.0
perfectly,378.0
stopped,378.0
learning,377.0
accept,377.0
filters,377.0
courses,376.0
stuck,376.0
cheaper,376.0
behind,376.0
report,375.0
link,374.0
pain,374.0
touch,374.0
talked,374.0
reading,373.0
eat,373.0
correctly,372.0
14,372.0
kit,371.0
hear,371.0
bottle,370.0
shows,370.0
straight,370.0
practice,370.0
watch,369.0
followed,369.0
paypal,368.0
nearly,368.0
battery,368.0
ridiculous,367.0
match,367.0
detail,367.0
friend,367.0
receipt,366.0
paperwork,366.0
outstanding,365.0
excited,365.0
returning,364.0
recent,364.0
ease,363.0
world,363.0
regular,363.0
eventually,362.0
solution,361.0
son,361.0
finished,361.0
experienced,360.0
dealing,360.0
window,359.0
exchange,359.0
colors,358.0
variety,356.0
shirt,356.0
school,356.0
shirts,355.0
clients,355.0
pre,354.0
expectations,354.0
search,353.0
hassle,352.0
explanation,352.0
platform,351.0
aware,351.0
16,351.0
thinking,350.0
notified,349.0
prescription,349.0
larger,349.0
oil,348.0
meet,348.0
screen,348.0
remove,347.0
driving,347.0
word,347.0
client,347.0
replaced,347.0
track,347.0
country,346.0
improve,346.0
ice,345.0
materials,345.0
running,345.0
fully,344.0
opinion,344.0
seller,343.0
affordable,342.0
current,341.0
okay,341.0
software,341.0
certificate,341.0
caused,340.0
similar,339.0
numbers,339.0
impossible,338.0
compared,338.0
literally,338.0
packages,337.0
safe,337.0
advance,337.0
closed,336.0
medical,336.0
chance,335.0
visa,335.0
game,335.0
processed,335.0
chair,334.0
key,333.0
printing,333.0
screws,332.0
incredibly,332.0
market,331.0
logo,331.0
party,330.0
honestly,330.0
removed,329.0
500,328.0
sense,328.0
earlier,327.0
processing,327.0
session,326.0
met,326.0
fill,326.0
research,325.0
handle,325.0
coffee,325.0
writing,325.0
tax,324.0
awful,324.0
putting,323.0
originally,322.0
responses,322.0
checking,322.0
delicious,321.0
anymore,321.0
passed,320.0
cause,320.0
surprised,320.0
described,320.0
yourself,320.0
arrival,320.0
consider,320.0
daughter,320.0
willing,320.0
u,319.0
main,318.0
include,318.0
decision,318.0
smell,317.0
mention,317.0
july,316.0
handled,316.0
tickets,316.0
worse,315.0
concern,315.0
considering,315.0
wine,315.0
auto,314.0
write,314.0
22,314.0
moved,314.0
decent,314.0
forth,313.0
showing,313.0
detailed,312.0
center,312.0
membership,312.0
image,312.0
23,312.0
pro,311.0
thru,311.0
addition,311.0
states,310.0
express,310.0
repair,310.0
experiences,310.0
january,310.0
visit,310.0
cart,310.0
200,310.0
useful,309.0
cat,309.0
mine,309.0
dropped,308.0
man,308.0
chicken,308.0
convenient,308.0
feeling,308.0
energy,307.0
vet,307.0
anyway,307.0
drivers,306.0
exceptional,306.0
likely,306.0
head,305.0
3rd,305.0
wall,305.0
apply,305.0
courteous,305.0
cruise,304.0
obviously,304.0
department,304.0
hit,304.0
heavy,303.0
whether,302.0
standard,302.0
means,302.0
model,302.0
stating,301.0
space,301.0
basic,301.0
interested,301.0
allowed,301.0
notification,301.0
red,300.0
providing,300.0
ground,300.0
books,299.0
november,299.0
aren,299.0
dates,299.0
limited,299.0
mentioned,299.0
concerned,298.0
suggest,298.0
separate,297.0
letter,297.0
feels,297.0
placing,297.0
garage,296.0
60,296.0
1st,296.0
lady,294.0
resume,294.0
period,294.0
exact,294.0
rates,294.0
faster,294.0
shoes,294.0
saved,293.0
created,293.0
brought,293.0
submitted,292.0
blue,292.0
2022,292.0
effort,292.0
reliable,291.0
create,291.0
smoothly,291.0
floor,290.0
confirm,290.0
broke,290.0
thorough,290.0
tours,289.0
filled,289.0
realized,288.0
led,288.0
realize,288.0
june,288.0
healthy,288.0
tree,288.0
across,287.0
notch,287.0
knowing,286.0
anywhere,286.0
dr,286.0
useless,286.0
flavor,286.0
ensure,286.0
employees,285.0
13,284.0
tank,284.0
packing,284.0
themselves,283.0
sitter,283.0
300,283.0
wrote,283.0
offers,282.0
download,282.0
solid,282.0
places,282.0
rug,282.0
90,281.0
holiday,280.0
daily,280.0
previously,280.0
ahead,280.0
18,279.0
stress,279.0
provider,278.0
numerous,278.0
hands,278.0
hasn,277.0
vendor,277.0
unprofessional,277.0
communicate,277.0
pass,277.0
sound,277.0
applied,276.0
perhaps,276.0
fairly,276.0
written,276.0
purchases,276.0
billing,276.0
necessary,275.0
starting,275.0
careful,275.0
till,275.0
cold,275.0
invoice,275.0
sitting,274.0
october,274.0
funds,273.0
terms,273.0
legal,273.0
classes,272.0
apart,272.0
bottles,271.0
flat,271.0
frames,271.0
transfer,271.0
im,271.0
dark,271.0
busy,270.0
complaints,270.0
near,270.0
marketing,270.0
become,270.0
normal,269.0
installer,268.0
major,268.0
hadn,268.0
corrected,268.0
seeing,268.0
attempt,268.0
carrier,268.0
frozen,267.0
priced,267.0
grateful,267.0
walk,267.0
b,267.0
prepared,266.0
face,266.0
answering,266.0
cool,265.0
general,265.0
ability,265.0
weekend,265.0
somewhere,265.0
certainly,264.0
rental,264.0
upset,264.0
specifically,264.0
supply,264.0
accepted,264.0
below,263.0
cleaning,263.0
yesterday,263.0
selected,263.0
charging,262.0
advised,261.0
sites,261.0
example,261.0
forever,261.0
speed,261.0
labels,261.0
august,260.0
middle,260.0
seat,260.0
stand,259.0
pack,258.0
19,257.0
march,257.0
bring,256.0
contacting,256.0
confirmed,256.0
misleading,255.0
opportunity,255.0
wear,255.0
panels,255.0
frustrated,254.0
replied,254.0
defective,254.0
lights,254.0
cooler,254.0
99,254.0
member,254.0
miles,253.0
strong,253.0
copy,252.0
financial,252.0
appears,252.0
resolution,251.0
internet,251.0
slightly,251.0
directions,250.0
bulbs,250.0
folks,250.0
points,250.0
park,250.0
deposit,250.0
green,250.0
improvement,249.0
china,249.0
suggested,249.0
signing,249.0
body,249.0
self,248.0
property,247.0
proper,247.0
cash,247.0
flowers,246.0
story,246.0
management,246.0
style,246.0
plant,246.0
american,246.0
art,246.0
currently,246.0
members,245.0
version,244.0
hole,244.0
loose,243.0
holes,243.0
ride,243.0
bus,243.0
technical,242.0
break,241.0
document,241.0
setting,241.0
mostly,239.0
explaining,239.0
unacceptable,238.0
hot,238.0
premium,238.0
ran,237.0
speaking,237.0
mistakes,237.0
canvas,236.0
helps,236.0
disappointment,236.0
nobody,236.0
didnt,236.0
steps,236.0
building,236.0
asap,236.0
tool,236.0
luck,235.0
annoying,235.0
requests,234.0
coverage,234.0
repeat,233.0
google,233.0
produce,233.0
flights,233.0
sort,233.0
assured,233.0
deliveries,232.0
checkout,232.0
guides,232.0
w,231.0
estimate,231.0
45,231.0
changing,231.0
0,231.0
fall,231.0
barely,230.0
camera,230.0
april,230.0
against,230.0
table,230.0
build,230.0
pleasure,230.0
delays,229.0
conversation,229.0
score,229.0
data,229.0
17,229.0
words,229.0
surprise,229.0
shape,229.0
